Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K4DX4RRG5A024D7WGY36DCQN,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.840Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.840Z,variant_01K4DX4S0F8HX1XEQ9ATX9NSPV,S / Black,SHIRT-S-BLACK,,,,,true,false,,2025-09-05T21:39:57.084Z,,,,,,Size,S,Color,Black,,10,15,prod_01K4DX4RRG5A024D7WGY36DCQN,2025-09-05T21:39:57.084Z,0,,
prod_01K4DX4RRG5A024D7WGY36DCQN,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.840Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.840Z,variant_01K4DX4S0GDVYRKH8N8CQC8QD9,S / White,SHIRT-S-WHITE,,,,,true,false,,2025-09-05T21:39:57.085Z,,,,,,Size,S,Color,White,,10,15,prod_01K4DX4RRG5A024D7WGY36DCQN,2025-09-05T21:39:57.085Z,0,,
prod_01K4DX4RRG5A024D7WGY36DCQN,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.840Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.840Z,variant_01K4DX4S0H8NNS7R5SB9T2TWC5,M / Black,SHIRT-M-BLACK,,,,,true,false,,2025-09-05T21:39:57.085Z,,,,,,Size,M,Color,Black,,10,15,prod_01K4DX4RRG5A024D7WGY36DCQN,2025-09-05T21:39:57.085Z,0,,
prod_01K4DX4RRG5A024D7WGY36DCQN,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.840Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.840Z,variant_01K4DX4S0J797EA17HFKHWHTBY,L / Black,SHIRT-L-BLACK,,,,,true,false,,2025-09-05T21:39:57.085Z,,,,,,Size,L,Color,Black,,10,15,prod_01K4DX4RRG5A024D7WGY36DCQN,2025-09-05T21:39:57.085Z,0,,
prod_01K4DX4RRG5A024D7WGY36DCQN,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.840Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.840Z,variant_01K4DX4S0J8HHKWVQN24RMHBV7,M / White,SHIRT-M-WHITE,,,,,true,false,,2025-09-05T21:39:57.085Z,,,,,,Size,M,Color,White,,10,15,prod_01K4DX4RRG5A024D7WGY36DCQN,2025-09-05T21:39:57.085Z,0,,
prod_01K4DX4RRG5A024D7WGY36DCQN,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.840Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.840Z,variant_01K4DX4S0KS6PFNYWZXZM5PMEW,L / White,SHIRT-L-WHITE,,,,,true,false,,2025-09-05T21:39:57.085Z,,,,,,Size,L,Color,White,,10,15,prod_01K4DX4RRG5A024D7WGY36DCQN,2025-09-05T21:39:57.085Z,0,,
prod_01K4DX4RRG5A024D7WGY36DCQN,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.840Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.840Z,variant_01K4DX4S0MRQK3ZTYB6S33A7GY,XL / White,SHIRT-XL-WHITE,,,,,true,false,,2025-09-05T21:39:57.086Z,,,,,,Size,XL,Color,White,,10,15,prod_01K4DX4RRG5A024D7WGY36DCQN,2025-09-05T21:39:57.086Z,0,,
prod_01K4DX4RRG5A024D7WGY36DCQN,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.840Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.840Z,variant_01K4DX4S0MYH80VHN4YA5YMSQX,XL / Black,SHIRT-XL-BLACK,,,,,true,false,,2025-09-05T21:39:57.085Z,,,,,,Size,XL,Color,Black,,10,15,prod_01K4DX4RRG5A024D7WGY36DCQN,2025-09-05T21:39:57.085Z,0,,
prod_01K4DX4RRH91RFESJJWG3W58WR,shorts,Medusa Shorts,,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.841Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.841Z,variant_01K4DX4S0SVFF3NWPYTX38EMC7,S,SHORTS-S,,,,,true,false,,2025-09-05T21:39:57.087Z,,,,,,Size,S,,,,10,15,prod_01K4DX4RRH91RFESJJWG3W58WR,2025-09-05T21:39:57.087Z,0,,
prod_01K4DX4RRH91RFESJJWG3W58WR,shorts,Medusa Shorts,,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,400,,,,,,,,true,,2025-09-05T21:39:56.841Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,sc_01K4DX43HNE48P3GSFMQFX903S,2025-09-05T21:39:56.841Z,variant_01K4DX4S0T69HQ67YDNNB609F0,M,SHORTS-M,,,,,true,false,,2025-09-05T21:39:57.087Z,,,,,,Size,M,,,,10,15,prod_01K4DX4RRH91RFESJJWG3W58WR,2025-09-05T21:39:57.087Z,0,,
