Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EGP,Variant Price EUR,Variant Price Europe [EGP],Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K5SFRSXN7C9FXQPJA255K1XR,sweatpants,Medusa Sweatpants,,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.317Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.317Z,variant_01K5SFRT0AB1P3P84PXJ00HBBE,M,SWEATPANTS-M,,,,,true,false,,2025-09-22T19:52:48.397Z,,,,,,Size,M,,,,100,10,100,15,prod_01K5SFRSXN7C9FXQPJA255K1XR,2025-09-22T19:52:48.397Z,0,,
prod_01K5SFRSXN7C9FXQPJA255K1XR,sweatpants,Medusa Sweatpants,,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.317Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.317Z,variant_01K5SFRT0AQBESNKD4G4GA2994,S,SWEATPANTS-S,,,,,true,false,,2025-09-22T19:52:48.397Z,,,,,,Size,S,,,,,10,,15,prod_01K5SFRSXN7C9FXQPJA255K1XR,2025-09-22T19:52:48.397Z,0,,
prod_01K5SFRSXN7C9FXQPJA255K1XR,sweatpants,Medusa Sweatpants,,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.317Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.317Z,variant_01K5SFRT0BVD9MY6KB664GY7TX,XL,SWEATPANTS-XL,,,,,true,false,,2025-09-22T19:52:48.397Z,,,,,,Size,XL,,,,,10,,15,prod_01K5SFRSXN7C9FXQPJA255K1XR,2025-09-22T19:52:48.397Z,0,,
prod_01K5SFRSXN7C9FXQPJA255K1XR,sweatpants,Medusa Sweatpants,,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.317Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.317Z,variant_01K5SFRT0BW4Z6VAPDF5BKW6C5,L,SWEATPANTS-L,,,,,true,false,,2025-09-22T19:52:48.397Z,,,,,,Size,L,,,,,10,,15,prod_01K5SFRSXN7C9FXQPJA255K1XR,2025-09-22T19:52:48.397Z,0,,
prod_01K5SFRSXNJW6H3TFZCMKW5WHD,sweatshirt,Medusa Sweatshirt,,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.316Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.317Z,variant_01K5SFRT09MHSGBE9G0DA21M2Q,S,SWEATSHIRT-S,,,,,true,false,,2025-09-22T19:52:48.396Z,,,,,,Size,S,,,,10,10,20,15,prod_01K5SFRSXNJW6H3TFZCMKW5WHD,2025-09-22T19:52:48.396Z,0,,
prod_01K5SFRSXNJW6H3TFZCMKW5WHD,sweatshirt,Medusa Sweatshirt,,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.316Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.317Z,variant_01K5SFRT0A8RFP5GZRRA67SMCC,XL,SWEATSHIRT-XL,,,,,true,false,,2025-09-22T19:52:48.397Z,,,,,,Size,XL,,,,,10,,15,prod_01K5SFRSXNJW6H3TFZCMKW5WHD,2025-09-22T19:52:48.397Z,0,,
prod_01K5SFRSXNJW6H3TFZCMKW5WHD,sweatshirt,Medusa Sweatshirt,,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.316Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.317Z,variant_01K5SFRT0APRWNEA18CBPBHFCT,L,SWEATSHIRT-L,,,,,true,false,,2025-09-22T19:52:48.397Z,,,,,,Size,L,,,,,10,,15,prod_01K5SFRSXNJW6H3TFZCMKW5WHD,2025-09-22T19:52:48.397Z,0,,
prod_01K5SFRSXNJW6H3TFZCMKW5WHD,sweatshirt,Medusa Sweatshirt,,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.316Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.317Z,variant_01K5SFRT0AVB7PTJZJ6BAAY97A,M,SWEATSHIRT-M,,,,,true,false,,2025-09-22T19:52:48.397Z,,,,,,Size,M,,,,,10,,15,prod_01K5SFRSXNJW6H3TFZCMKW5WHD,2025-09-22T19:52:48.397Z,0,,
prod_01K5SFRSXNM6ABFC470DPXQ6VW,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.316Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.316Z,variant_01K5SFRT082DYMQYMF0KVW6QV1,M / Black,SHIRT-M-BLACK,,,,,true,false,,2025-09-22T19:52:48.396Z,,,,,,Size,M,Color,Black,,19,10,50,15,prod_01K5SFRSXNM6ABFC470DPXQ6VW,2025-09-22T19:52:48.396Z,0,,
prod_01K5SFRSXNM6ABFC470DPXQ6VW,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,400,,,,,,,,true,,2025-09-22T19:52:48.316Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,sc_01K5SFRSJP3WZCD9RF5158BYC3,2025-09-22T19:52:48.316Z,variant_01K5SFRT086R1MTA9QWRR5GRMG,S / Black,SHIRT-S-BLACK,,,,,true,false,,2025-09-22T19:52:48.396Z,,,,,,Size,S,Color,Black,,,10,,15,prod_01K5SFRSXNM6ABFC470DPXQ6VW,2025-09-22T19:52:48.396Z,0,,
